Timestamp,No,x,y,z
2025-09-03 13:28:38,609, 6264, 8816, 3592
2025-09-03 13:28:38,610, 8300, -22204, 7104
2025-09-03 13:28:38,611, 12152, -28544, -424
2025-09-03 13:28:39,612, 3696, -8236, 4844
2025-09-03 13:28:39,613, -5316, 29480, 7980
2025-09-03 13:28:39,614, 3648, 18452, -1064
2025-09-03 13:28:39,615, 12868, -14104, 10572
2025-09-03 13:28:39,616, 16004, -24676, 4172
2025-09-03 13:28:39,617, 6780, -6184, 2936
2025-09-03 13:28:39,618, -1276, 17616, 7820
2025-09-03 13:28:39,619, -3800, 32764, 11488
2025-09-03 13:28:39,620, -3800, 32764, 11488
2025-09-03 13:28:39,621, 8136, -532, 8480
2025-09-03 13:28:40,622, 11664, -27700, 1228
2025-09-03 13:28:40,623, 9484, -22348, 1860
2025-09-03 13:28:40,624, -460, 11628, 8436
2025-09-03 13:28:40,625, -3992, 32764, 6488
2025-09-03 13:28:40,626, 9056, -468, 4656
